Website Name,Completed
google.com,completed
amazonaws.com,completed
microsoft.com,completed
facebook.com,completed
akamai.net,completed
a-msedge.net,completed
googleapis.com,completed
apple.com,completed
youtube.com,completed
root-servers.net,completed
azure.com,completed
akamaiedge.net,completed
twitter.com,completed
cloudflare.com,completed
instagram.com,completed
gstatic.com,completed
office.com,completed
linkedin.com,completed
tiktokcdn.com,completed
live.com,completed
googletagmanager.com,completed
googlevideo.com,completed
akadns.net,completed
gtld-servers.net,completed
windowsupdate.com,completed
fbcdn.net,completed
microsoftonline.com,completed
trafficmanager.net,completed
doubleclick.net,completed
amazon.com,completed
googleusercontent.com,completed
wikipedia.org,completed
bing.com,completed
office.net,completed
fastly.net,completed
apple-dns.net,completed
l-msedge.net,completed
domaincontrol.com,completed
wordpress.org,completed
googlesyndication.com,completed
icloud.com,completed
sharepoint.com,completed
youtu.be,completed
github.com,completed
netflix.com,completed
t-msedge.net,completed
mail.ru,completed
whatsapp.net,completed
aaplimg.com,completed
pinterest.com,completed
yahoo.com,completed
digicert.com,completed
s-msedge.net,completed
